Pokemon,Type1,Type2,FastMove,FastType,ChargedMove,ChargedMoveType,Stamina,Attack,Defense,DPS,TDO,DPSxTDO,CP,Generation,Legendary,TypeColor
Mew,Psychic,,Rock Smash,Fighting,Flame Charge,Fire,200,210,200,8.886,298.3,"2,650.90","3,090",1,FALSE,deeppink1
Mew,Psychic,,Frost Breath,Ice,Low Sweep,Fighting,200,210,200,8.884,298.2,"2,649.30","3,090",1,FALSE,deeppink1
Mew,Psychic,,Volt Switch,Electric,Ancient Power,Rock,200,210,200,8.883,298.2,"2,649","3,090",1,FALSE,deeppink1
Combusken,Fire,Fighting,Ember,Fire,Rock Slide,Rock,120,163,120,8.882,108.2,960.9,"1,472",3,FALSE,firebrick
Cloyster,Water,Ice,Ice Shard,Ice,Icy Wind,Ice,100,186,326,8.874,239.4,"2,124.10","2,475",1,FALSE,dodgerblue2
Clefable,Fairy,,Pound,Normal,Psychic,Psychic,190,178,176,8.873,234.8,"2,083.50","2,353",1,FALSE,pink1
Whiscash,Water,Ground,Water Gun,Water,Blizzard,Ice,220,151,146,8.873,227.2,"2,015.70","1,991",3,FALSE,dodgerblue2
Drifloon,Ghost,Flying,Astonish,Ghost,Shadow Ball,Ghost,180,117,86,8.872,129.9,"1,152.10","1,197",4,FALSE,midnightblue
Quagsire,Water,Ground,Water Gun,Water,Earthquake,Ground,190,152,165,8.867,210.7,"1,867.80","1,929",2,FALSE,dodgerblue2
Houndour,Dark,Fire,Ember,Fire,Crunch,Dark,90,152,95,8.865,69.8,618.5,"1,110",2,FALSE,gray0
Seaking,Water,,Peck,Flying,Ice Beam,Ice,160,175,156,8.865,181.9,"1,612.80","2,040",1,FALSE,dodgerblue2
Whiscash,Water,Ground,Mud Shot,Ground,Mud Bomb,Ground,220,151,146,8.865,227,"2,012.20","1,991",3,FALSE,dodgerblue2
Graveler,Rock,Ground,Mud Slap,Ground,Rock Blast,Rock,110,164,213,8.864,162.2,"1,438.10","1,815",1,FALSE,sienna4
Lanturn,Water,Electric,Water Gun,Water,Thunder,Electric,250,146,148,8.863,262.4,"2,325.90","2,077",2,FALSE,dodgerblue2
Gastly,Ghost,Poison,Sucker Punch,Dark,Dark Pulse,Dark,60,186,69,8.861,39.2,347.3,"1,002",1,FALSE,midnightblue
Medicham,Fighting,Psychic,Counter,Fighting,Dynamic Punch,Fighting,120,121,150,8.861,138.6,"1,228.30","1,275",3,FALSE,chocolate2
Smoochum,Ice,Psychic,Powder Snow,Ice,Psyshock,Psychic,90,153,118,8.857,84.5,748.8,"1,230",2,FALSE,cyan2
Mew,Psychic,,Volt Switch,Electric,Bulldoze,Ground,200,210,200,8.856,297.3,"2,632.60","3,090",1,FALSE,deeppink1
Houndour,Dark,Fire,Ember,Fire,Dark Pulse,Dark,90,152,95,8.851,69.7,616.5,"1,110",2,FALSE,gray0
Dusknoir,Ghost,,Astonish,Ghost,Ominous Wind,Ghost,90,180,270,8.847,236.2,"2,089.40","2,388",4,FALSE,midnightblue
Magcargo,Fire,Rock,Rock Throw,Rock,Heat Wave,Fire,100,139,230,8.846,185.6,"1,642.10","1,846",2,FALSE,firebrick
Gastrodon,Water,Ground,Mud Slap,Ground,Body Slam,Normal,222,169,161,8.842,251.1,"2,220.40","2,324",4,FALSE,dodgerblue2
Graveler,Rock,Ground,Mud Shot,Ground,Stone Edge,Rock,110,164,213,8.842,161.8,"1,431.10","1,815",1,FALSE,sienna4
Lapras,Water,Ice,Water Gun,Water,Dragon Pulse,Dragon,260,165,186,8.842,329.1,"2,909.60","2,603",1,FALSE,dodgerblue2
Grotle,Grass,,Razor Leaf,Grass,Body Slam,Normal,150,157,165,8.84,190,"1,679.30","1,890",4,FALSE,green2
Seadra,Water,,Dragon Breath,Dragon,Aurora Beam,Ice,110,187,178,8.84,151.1,"1,335.40","1,979",1,FALSE,dodgerblue2
Togetic,Fairy,Flying,Steel Wing,Steel,Dazzling Gleam,Fairy,110,140,205,8.834,157.9,"1,394.60","1,553",2,FALSE,pink1
Relicanth,Water,Rock,Zen Headbutt,Psychic,Aqua Tail,Water,200,162,244,8.833,328.2,"2,898.60","2,557",3,FALSE,dodgerblue2
Hitmonchan,Fighting,,Bullet Punch,Steel,Thunder Punch,Electric,100,193,212,8.829,159.9,"1,412.10","2,098",1,FALSE,chocolate2
Doduo,Normal,Flying,Peck,Flying,Aerial Ace,Flying,70,158,88,8.823,53.6,473,"1,011",1,FALSE,ivory2
Mew,Psychic,,Infestation,Bug,Flame Charge,Fire,200,210,200,8.812,295.8,"2,606.60","3,090",1,FALSE,deeppink1
Probopass,Rock,Steel,Rock Throw,Rock,Rock Slide,Rock,120,135,299,8.811,301.5,"2,656.40","2,080",4,FALSE,sienna4
Dusknoir,Ghost,,Hex,Ghost,Dark Pulse,Dark,90,180,270,8.805,235.1,"2,069.70","2,388",4,FALSE,midnightblue
Ponyta,Fire,,Tackle,Normal,Fire Blast,Fire,100,170,128,8.804,103.3,909.3,"1,502",1,FALSE,firebrick
Linoone,Normal,,Shadow Claw,Ghost,Grass Knot,Grass,156,142,122,8.803,149.4,"1,315.20","1,533",3,FALSE,ivory2
Mawile,Steel,Fairy,Bite,Dark,Iron Head,Steel,100,155,163,8.802,119.4,"1,051.20","1,484",3,FALSE,darkslategray4
Blastoise,Water,,Water Gun,Water,Flash Cannon,Steel,158,171,209,8.8,237.7,"2,091.70","2,291",1,FALSE,dodgerblue2
Munchlax,Normal,,Tackle,Normal,Body Slam,Normal,270,137,159,8.797,242.6,"2,133.70","1,892",4,FALSE,ivory2
Xatu,Psychic,Flying,Feint Attack,Dark,Ominous Wind,Ghost,130,192,140,8.797,142.5,"1,253.80","1,975",2,FALSE,deeppink1
Gastly,Ghost,Poison,Sucker Punch,Dark,Night Shade,Ghost,60,186,69,8.796,38.9,342.3,"1,002",1,FALSE,midnightblue
Porygon,Normal,,Hidden Power,Normal,Hyper Beam,Normal,130,153,149,8.795,136.3,"1,198.70","1,567",1,FALSE,ivory2
Elekid,Electric,,Thunder Shock,Electric,Discharge,Electric,90,135,106,8.793,80.1,704.3,"1,073",2,FALSE,yellow2
Lapras,Water,Ice,Frost Breath,Ice,Dragon Pulse,Dragon,260,165,186,8.792,327.2,"2,876.90","2,603",1,FALSE,dodgerblue2
Octillery,Water,,Mud Shot,Ground,Aurora Beam,Ice,150,197,150,8.79,157,"1,380","2,124",2,FALSE,dodgerblue2
Kangaskhan,Normal,,Low Kick,Fighting,Crunch,Dark,210,181,160,8.787,247,"2,170.10","2,463",1,FALSE,ivory2
Parasect,Bug,Grass,Bug Bite,Bug,Cross Poison,Poison,120,165,160,8.787,132.5,"1,164.50","1,657",1,FALSE,darkgreen
Oddish,Grass,Poison,Razor Leaf,Grass,Sludge Bomb,Poison,90,131,128,8.785,83.9,736.6,"1,069",1,FALSE,green2
Regirock,Rock,,Rock Smash,Fighting,Stone Edge,Rock,160,179,375,8.785,395.8,"3,477.10","3,087",3,TRUE,sienna4
Altaria,Dragon,Flying,Dragon Breath,Dragon,Dragon Pulse,Dragon,150,141,206,8.782,224.2,"1,969.20","1,868",3,FALSE,cornflowerblue
Farfetch'd,Normal,Flying,Cut,Normal,Air Cutter,Flying,104,124,122,8.78,96.4,846.7,"1,430",1,FALSE,ivory2
Seaking,Water,,Peck,Flying,Drill Run,Ground,160,175,156,8.78,180.2,"1,582.20","2,040",1,FALSE,dodgerblue2
Graveler,Rock,Ground,Mud Shot,Ground,Dig,Ground,110,164,213,8.779,160.7,"1,410.80","1,815",1,FALSE,sienna4
Mew,Psychic,,Charge Beam,Electric,Flash Cannon,Steel,200,210,200,8.776,294.6,"2,585.30","3,090",1,FALSE,deeppink1
Politoed,Water,,Bubble,Water,Earthquake,Ground,180,174,194,8.776,245.8,"2,157.70","2,371",2,FALSE,dodgerblue2
Lanturn,Water,Electric,Charge Beam,Electric,Hydro Pump,Water,250,146,148,8.775,259.8,"2,279.90","2,077",2,FALSE,dodgerblue2
Lairon,Steel,Rock,Iron Tail,Steel,Body Slam,Normal,120,158,258,8.774,209.6,"1,839","2,004",3,FALSE,darkslategray4
Mew,Psychic,,Rock Smash,Fighting,Low Sweep,Fighting,200,210,200,8.771,294.5,"2,582.90","3,090",1,FALSE,deeppink1
Politoed,Water,,Mud Shot,Ground,Blizzard,Ice,180,174,194,8.771,245.7,"2,155.10","2,371",2,FALSE,dodgerblue2
Purugly,Normal,,Shadow Claw,Ghost,Aerial Ace,Flying,142,172,127,8.769,170.2,"1,492.70","1,953",4,FALSE,ivory2
Beedrill,Bug,Poison,Bug Bite,Bug,Aerial Ace,Flying,130,169,150,8.765,145.5,"1,275.40","1,777",1,FALSE,darkgreen
Omanyte,Rock,Water,Water Gun,Water,Rock Blast,Rock,70,155,189,8.763,97.7,856.1,"1,345",1,FALSE,sienna4
Poliwrath,Water,Fighting,Mud Shot,Ground,Ice Punch,Ice,180,182,189,8.762,239.5,"2,098.60","2,441",1,FALSE,dodgerblue2
Alolan Geodude,Rock,Electric,Rock Throw,Rock,Thunderbolt,Electric,80,132,163,8.757,102.8,900,"1,193",Alolan,FALSE,sienna4
Pidgeot,Normal,Flying,Air Slash,Flying,Air Cutter,Flying,166,166,149,8.749,189,"1,653.70","1,994",1,FALSE,ivory2
Drapion,Poison,Dark,Infestation,Bug,Aqua Tail,Water,140,180,211,8.742,246.2,"2,151.90","2,453",4,FALSE,purple3
Butterfree,Bug,Flying,Bug Bite,Bug,Psychic,Psychic,120,167,153,8.741,135.9,"1,188.40","1,701",1,FALSE,darkgreen
Probopass,Rock,Steel,Rock Throw,Rock,Magnet Bomb,Steel,120,135,299,8.734,298.8,"2,609.70","2,080",4,FALSE,sienna4
Hypno,Psychic,,Zen Headbutt,Psychic,Shadow Ball,Ghost,170,144,219,8.733,257.9,"2,252","2,048",1,FALSE,deeppink1
Mew,Psychic,,Volt Switch,Electric,Stone Edge,Rock,200,210,200,8.732,293.2,"2,559.90","3,090",1,FALSE,deeppink1
Steelix,Steel,Ground,Iron Tail,Steel,Earthquake,Ground,150,148,366,8.727,347.8,"3,034.90","2,439",2,FALSE,darkslategray4
Lickilicky,Normal,,Zen Headbutt,Psychic,Solar Beam,Grass,220,161,190,8.725,305,"2,660.80","2,467",4,FALSE,ivory2
Togetic,Fairy,Flying,Extrasensory,Psychic,Dazzling Gleam,Fairy,110,140,205,8.723,155.9,"1,359.80","1,553",2,FALSE,pink1
Mew,Psychic,,Struggle Bug,Bug,Flame Charge,Fire,200,210,200,8.722,292.8,"2,553.70","3,090",1,FALSE,deeppink1
Pidgeot,Normal,Flying,Steel Wing,Steel,Air Cutter,Flying,166,166,149,8.722,188.4,"1,643.50","1,994",1,FALSE,ivory2
Ponyta,Fire,,Ember,Fire,Flame Charge,Fire,100,170,128,8.721,102.3,892.2,"1,502",1,FALSE,firebrick
Farfetch'd,Normal,Flying,Air Slash,Flying,Air Cutter,Flying,104,124,122,8.72,95.8,835.1,"1,430",1,FALSE,ivory2
Mankey,Fighting,,Karate Chop,Fighting,Cross Chop,Fighting,80,148,88,8.719,58.6,511.2,"1,002",1,FALSE,chocolate2
Croagunk,Poison,Fighting,Poison Jab,Poison,Sludge Bomb,Poison,96,116,80,8.716,82,714.9,952,4,FALSE,purple3
Graveler,Rock,Ground,Mud Slap,Ground,Dig,Ground,110,164,213,8.709,159.4,"1,388.30","1,815",1,FALSE,sienna4
Bulbasaur,Grass,Poison,Vine Whip,Grass,Power Whip,Grass,90,118,126,8.707,84.4,734.8,981,1,FALSE,green2
Porygon,Normal,,Quick Attack,Normal,Discharge,Electric,130,153,149,8.706,134.9,"1,174.60","1,567",1,FALSE,ivory2
Bibarel,Normal,Water,Take Down,Normal,Surf,Water,158,162,120,8.701,164.3,"1,429.20","1,823",4,FALSE,ivory2
Kingler,Water,,Mud Shot,Ground,Vice Grip,Normal,110,240,214,8.7,172.8,"1,503.50","2,694",1,FALSE,dodgerblue2
Pidgeot,Normal,Flying,Wing Attack,Flying,Air Cutter,Flying,166,166,149,8.7,188,"1,635.40","1,994",1,FALSE,ivory2
Chatot,Normal,Flying,Peck,Flying,Night Shade,Ghost,152,183,89,8.695,126.6,"1,101.10","1,791",4,FALSE,ivory2
Carvanha,Water,Dark,Bite,Dark,Poison Fang,Poison,90,171,40,8.694,34.2,297.4,874,3,FALSE,dodgerblue2
Wailmer,Water,,Water Gun,Water,Heavy Slam,Steel,260,136,70,8.693,137.7,"1,197","1,424",3,FALSE,dodgerblue2
Miltank,Normal,,Zen Headbutt,Psychic,Body Slam,Normal,190,158,201,8.688,279.3,"2,427.10","2,325",2,FALSE,ivory2
Forretress,Bug,Steel,Bug Bite,Bug,Earthquake,Ground,150,161,260,8.686,255.6,"2,220.40","2,263",2,FALSE,darkgreen
Lopunny,Normal,,Pound,Normal,Fire Punch,Fire,130,156,189,8.68,224.1,"1,945","2,059",4,FALSE,ivory2
Staravia,Normal,Flying,Quick Attack,Normal,Aerial Ace,Flying,110,142,98,8.678,105.7,917.2,"1,299",4,FALSE,ivory2
Porygon,Normal,,Tackle,Normal,Discharge,Electric,130,153,149,8.671,134.4,"1,165.20","1,567",1,FALSE,ivory2
Cherrim,Grass,,Bullet Seed,Grass,Hyper Beam,Normal,140,170,154,8.67,189,"1,638.90","2,048",4,FALSE,green2
Dewgong,Water,Ice,Frost Breath,Ice,Blizzard,Ice,180,139,186,8.667,233.4,"2,023.10","1,894",1,FALSE,dodgerblue2
Munchlax,Normal,,Lick,Ghost,Body Slam,Normal,270,137,159,8.667,239,"2,071.20","1,892",4,FALSE,ivory2
Regice,Ice,,Rock Smash,Fighting,Focus Blast,Fighting,160,179,375,8.662,390.3,"3,380.70","3,087",3,TRUE,cyan2
Regirock,Rock,,Rock Smash,Fighting,Focus Blast,Fighting,160,179,375,8.662,390.3,"3,380.70","3,087",3,TRUE,sienna4
Venomoth,Bug,Poison,Infestation,Bug,Poison Fang,Poison,140,179,146,8.662,153.7,"1,331.80","1,937",1,FALSE,darkgreen
Persian,Normal,,Scratch,Normal,Power Gem,Rock,130,150,129,8.661,134.2,"1,162.40","1,539",1,FALSE,ivory2
Grimer,Poison,,Mud Slap,Ground,Sludge Bomb,Poison,160,135,100,8.658,110.4,955.8,"1,269",1,FALSE,purple3
Kecleon,Normal,,Lick,Ghost,Flamethrower,Fire,120,161,228,8.656,184.1,"1,593.30","1,924",3,FALSE,ivory2
Hypno,Psychic,,Zen Headbutt,Psychic,Future Sight,Psychic,170,144,219,8.655,255.6,"2,211.80","2,048",1,FALSE,deeppink1
Metang,Steel,Psychic,Metal Claw,Steel,Psyshock,Psychic,120,138,195,8.655,162.2,"1,403.70","1,570",3,FALSE,darkslategray4
Alolan Grimer,Dark,Poison,Bite,Dark,Crunch,Dark,160,135,90,8.653,110.3,954.7,"1,269",Alolan,FALSE,gray0
Kecleon,Normal,,Sucker Punch,Dark,Foul Play,Dark,120,161,228,8.651,184,"1,591.70","1,924",3,FALSE,ivory2
Uxie,Psychic,,Confusion,Psychic,Thunder,Electric,150,156,260,8.647,335.2,"2,898.80","2,524",4,TRUE,deeppink1
Pupitar,Rock,Ground,Bite,Dark,Dig,Ground,140,155,140,8.646,137.6,"1,190","1,608",2,FALSE,sienna4
Carvanha,Water,Dark,Snarl,Dark,Aqua Jet,Water,90,171,40,8.645,34,294.1,874,3,FALSE,dodgerblue2
Phione,Water,,Bubble,Water,Water Pulse,Water,160,162,160,8.639,217.5,"1,879.50","2,105",4,FALSE,dodgerblue2
Misdreavus,Ghost,,Hex,Ghost,Ominous Wind,Ghost,120,167,164,8.636,147.3,"1,271.70","1,781",2,FALSE,midnightblue
Mew,Psychic,,Volt Switch,Electric,Thunder,Electric,200,210,200,8.63,289.7,"2,500.30","3,090",1,FALSE,deeppink1
Mew,Psychic,,Infestation,Bug,Low Sweep,Fighting,200,210,200,8.629,289.7,"2,499.60","3,090",1,FALSE,deeppink1
Alolan Grimer,Dark,Poison,Poison Jab,Poison,Crunch,Dark,160,135,90,8.628,110,949.2,"1,269",Alolan,FALSE,gray0
Lairon,Steel,Rock,Metal Claw,Steel,Body Slam,Normal,120,158,258,8.628,206.1,"1,778.30","2,004",3,FALSE,darkslategray4
Deoxys (Speed Forme),Psychic,,Charge Beam,Electric,Swift,Normal,100,230,180,8.627,160.4,"1,384.10","2,504",3,TRUE,deeppink1
Ponyta,Fire,,Tackle,Normal,Flame Charge,Fire,100,170,128,8.627,101.2,873.1,"1,502",1,FALSE,firebrick
Venomoth,Bug,Poison,Confusion,Psychic,Poison Fang,Poison,140,179,146,8.625,153.1,"1,320.30","1,937",1,FALSE,darkgreen
Smoochum,Ice,Psychic,Powder Snow,Ice,Ice Punch,Ice,90,153,118,8.624,82.3,710,"1,230",2,FALSE,cyan2
Hitmontop,Fighting,,Rock Smash,Fighting,Stone Edge,Rock,100,173,216,8.614,157.4,"1,356.20","1,905",2,FALSE,chocolate2
Hypno,Psychic,,Zen Headbutt,Psychic,Psyshock,Psychic,170,144,219,8.613,254.3,"2,190.40","2,048",1,FALSE,deeppink1
Chatot,Normal,Flying,Peck,Flying,Heat Wave,Fire,152,183,89,8.609,125.4,"1,079.40","1,791",4,FALSE,ivory2
Anorith,Rock,Bug,Struggle Bug,Bug,Cross Poison,Poison,90,176,100,8.607,72.1,620.8,"1,310",3,FALSE,sienna4
Registeel,Steel,,Metal Claw,Steel,Hyper Beam,Normal,160,143,300,8.605,313.5,"2,698","2,261",3,TRUE,darkslategray4
Pupitar,Rock,Ground,Bite,Dark,Ancient Power,Rock,140,155,140,8.601,136.9,"1,177.80","1,608",2,FALSE,sienna4
Medicham,Fighting,Psychic,Psycho Cut,Psychic,Dynamic Punch,Fighting,120,121,150,8.599,134.5,"1,157","1,275",3,FALSE,chocolate2
Swalot,Poison,,Rock Smash,Fighting,Sludge Bomb,Poison,200,140,166,8.599,223.2,"1,919.60","1,872",3,FALSE,purple3
Weezing,Poison,,Tackle,Normal,Dark Pulse,Dark,130,174,228,8.599,204.2,"1,756.10","2,183",1,FALSE,purple3
Seaking,Water,,Poison Jab,Poison,Megahorn,Bug,160,175,156,8.597,176.4,"1,517","2,040",1,FALSE,dodgerblue2
Ponyta,Fire,,Ember,Fire,Stomp,Normal,100,170,128,8.594,100.8,866.4,"1,502",1,FALSE,firebrick
Gliscor,Ground,Flying,Fury Cutter,Bug,Night Slash,Dark,150,185,238,8.593,277,"2,380.40","2,692",4,FALSE,peru
Vigoroth,Normal,,Scratch,Normal,Brick Break,Fighting,160,159,154,8.593,181.6,"1,560.30","1,896",3,FALSE,ivory2
Graveler,Rock,Ground,Mud Slap,Ground,Stone Edge,Rock,110,164,213,8.592,157.3,"1,351.40","1,815",1,FALSE,sienna4
Kangaskhan,Normal,,Low Kick,Fighting,Earthquake,Ground,210,181,160,8.591,241.5,"2,074.30","2,463",1,FALSE,ivory2
Kecleon,Normal,,Lick,Ghost,Ice Beam,Ice,120,161,228,8.582,182.5,"1,566.40","1,924",3,FALSE,ivory2
Omanyte,Rock,Water,Water Gun,Water,Bubble Beam,Water,70,155,189,8.582,95.7,821.2,"1,345",1,FALSE,sienna4
Staravia,Normal,Flying,Wing Attack,Flying,Aerial Ace,Flying,110,142,98,8.578,104.5,896.1,"1,299",4,FALSE,ivory2
Seaking,Water,,Peck,Flying,Water Pulse,Water,160,175,156,8.576,176,"1,509.50","2,040",1,FALSE,dodgerblue2
Grimer,Poison,,Poison Jab,Poison,Sludge,Poison,160,135,100,8.573,109.3,937.2,"1,269",1,FALSE,purple3
Mankey,Fighting,,Karate Chop,Fighting,Brick Break,Fighting,80,148,88,8.571,57.6,494,"1,002",1,FALSE,chocolate2
Regirock,Rock,,Rock Smash,Fighting,Zap Cannon,Electric,160,179,375,8.563,385.8,"3,303.70","3,087",3,TRUE,sienna4
Mew,Psychic,,Charge Beam,Electric,Flame Charge,Fire,200,210,200,8.561,287.4,"2,460.40","3,090",1,FALSE,deeppink1
Kangaskhan,Normal,,Mud Slap,Ground,Crunch,Dark,210,181,160,8.555,240.5,"2,057.20","2,463",1,FALSE,ivory2
Suicune,Water,,Hidden Power,Normal,Water Pulse,Water,200,180,230,8.554,319.1,"2,729.30","2,823",2,TRUE,dodgerblue2
Porygon,Normal,,Quick Attack,Normal,Zap Cannon,Electric,130,153,149,8.553,132.5,"1,133.60","1,567",1,FALSE,ivory2
Alolan Geodude,Rock,Electric,Rock Throw,Rock,Rock Slide,Rock,80,132,163,8.552,100.4,858.2,"1,193",Alolan,FALSE,sienna4
Geodude,Rock,Ground,Rock Throw,Rock,Rock Slide,Rock,80,132,183,8.552,100.4,858.2,"1,193",1,FALSE,sienna4
Machop,Fighting,,Karate Chop,Fighting,Cross Chop,Fighting,140,137,96,8.546,94.7,809.1,"1,199",1,FALSE,chocolate2
Venomoth,Bug,Poison,Infestation,Bug,Psychic,Psychic,140,179,146,8.546,151.7,"1,296.30","1,937",1,FALSE,darkgreen
Bayleef,Grass,,Razor Leaf,Grass,Grass Knot,Grass,120,122,160,8.542,136,"1,162","1,296",2,FALSE,green2
Raichu,Electric,,Volt Switch,Electric,Brick Break,Fighting,120,193,154,8.54,144,"1,229.90","2,025",1,FALSE,yellow2
Lapras,Water,Ice,Ice Shard,Ice,Dragon Pulse,Dragon,260,165,186,8.535,317.6,"2,710.70","2,603",1,FALSE,dodgerblue2
Dusknoir,Ghost,,Astonish,Ghost,Dark Pulse,Dark,90,180,270,8.534,227.8,"1,944.40","2,388",4,FALSE,midnightblue
Gastrodon,Water,Ground,Hidden Power,Normal,Earthquake,Ground,222,169,161,8.533,242.3,"2,067.90","2,324",4,FALSE,dodgerblue2
Shelgon,Dragon,,Ember,Fire,Flamethrower,Fire,130,172,188,8.533,166.6,"1,421.30","1,958",3,FALSE,cornflowerblue
Sudowoodo,Rock,,Counter,Fighting,Earthquake,Ground,140,167,218,8.532,195.5,"1,668","2,065",2,FALSE,sienna4
Hitmontop,Fighting,,Rock Smash,Fighting,Gyro Ball,Steel,100,173,216,8.53,155.9,"1,329.80","1,905",2,FALSE,chocolate2
Stunky,Poison,Dark,Scratch,Normal,Sludge Bomb,Poison,126,121,93,8.53,108.8,927.9,"1,151",4,FALSE,purple3
Treecko,Grass,,Pound,Normal,Grass Knot,Grass,80,124,105,8.527,66.9,570.4,923,3,FALSE,green2
Combusken,Fire,Fighting,Ember,Fire,Flame Charge,Fire,120,163,120,8.526,103.8,885.3,"1,472",3,FALSE,firebrick
Registeel,Steel,,Metal Claw,Steel,Focus Blast,Fighting,160,143,300,8.518,310.3,"2,643.30","2,261",3,TRUE,darkslategray4
Ponyta,Fire,,Ember,Fire,Flame Wheel,Fire,100,170,128,8.517,99.9,851,"1,502",1,FALSE,firebrick
Magby,Fire,,Ember,Fire,Flame Burst,Fire,90,151,106,8.514,76.3,649.7,"1,178",2,FALSE,firebrick
Teddiursa,Normal,,Lick,Ghost,Play Rough,Fairy,120,142,100,8.513,86.1,733.2,"1,184",2,FALSE,ivory2
Mew,Psychic,,Struggle Bug,Bug,Low Sweep,Fighting,200,210,200,8.511,285.7,"2,432","3,090",1,FALSE,deeppink1
Ninetales,Fire,,Ember,Fire,Heat Wave,Fire,146,169,194,8.511,208.2,"1,772.30","2,157",1,FALSE,firebrick
Altaria,Dragon,Flying,Dragon Breath,Dragon,Dazzling Gleam,Fairy,150,141,206,8.509,217.3,"1,848.80","1,868",3,FALSE,cornflowerblue
Magby,Fire,,Karate Chop,Fighting,Flame Burst,Fire,90,151,106,8.509,76.3,648.9,"1,178",2,FALSE,firebrick
Yanma,Bug,Flying,Wing Attack,Flying,Silver Wind,Bug,130,154,90,8.505,93.3,793.3,"1,326",2,FALSE,darkgreen
Cresselia,Psychic,,Confusion,Psychic,Moonblast,Fairy,240,152,258,8.504,443,"3,767.40","2,857",4,FALSE,deeppink1
Ariados,Bug,Poison,Infestation,Bug,Megahorn,Bug,140,161,138,8.501,132.6,"1,127.10","1,647",2,FALSE,darkgreen
Growlithe,Fire,,Bite,Dark,Flamethrower,Fire,110,136,99,8.496,81.8,695.1,"1,110",1,FALSE,firebrick
Prinplup,Water,,Bubble,Water,Bubble Beam,Water,128,150,150,8.487,160.5,"1,362.40","1,701",4,FALSE,dodgerblue2
Parasect,Bug,Grass,Fury Cutter,Bug,Cross Poison,Poison,120,165,160,8.484,128,"1,085.60","1,657",1,FALSE,darkgreen
Registeel,Steel,,Metal Claw,Steel,Flash Cannon,Steel,160,143,300,8.483,309.1,"2,621.70","2,261",3,TRUE,darkslategray4
Bulbasaur,Grass,Poison,Vine Whip,Grass,Sludge Bomb,Poison,90,118,126,8.481,82.2,697.1,981,1,FALSE,green2
Porygon,Normal,,Tackle,Normal,Zap Cannon,Electric,130,153,149,8.475,131.3,"1,113.10","1,567",1,FALSE,ivory2
Omanyte,Rock,Water,Water Gun,Water,Ancient Power,Rock,70,155,189,8.472,94.4,800.1,"1,345",1,FALSE,sienna4
Omanyte,Rock,Water,Water Gun,Water,Brine,Water,70,155,189,8.471,94.4,800,"1,345",1,FALSE,sienna4
Torkoal,Fire,,Ember,Fire,Solar Beam,Grass,140,151,263,8.47,226.8,"1,921.30","2,036",3,FALSE,firebrick
Mantine,Water,Flying,Wing Attack,Flying,Aerial Ace,Flying,130,149,263,8.469,299,"2,532.20","2,310",2,FALSE,dodgerblue2
Hypno,Psychic,,Confusion,Psychic,Focus Blast,Fighting,170,144,219,8.466,250,"2,116.50","2,048",1,FALSE,deeppink1
Spearow,Normal,Flying,Quick Attack,Normal,Sky Attack,Flying,80,112,62,8.466,42.4,359.1,673,1,FALSE,ivory2
Stantler,Normal,,Zen Headbutt,Psychic,Megahorn,Bug,146,192,129,8.461,139,"1,175.70","1,988",2,FALSE,ivory2
Growlithe,Fire,,Ember,Fire,Flamethrower,Fire,110,136,99,8.459,81.5,689,"1,110",1,FALSE,firebrick
Mew,Psychic,,Volt Switch,Electric,Flame Charge,Fire,200,210,200,8.459,284,"2,402.20","3,090",1,FALSE,deeppink1
Blastoise,Water,,Bite,Dark,Flash Cannon,Steel,158,171,209,8.458,228.5,"1,932.20","2,291",1,FALSE,dodgerblue2
Alolan Graveler,Rock,Electric,Volt Switch,Electric,Rock Blast,Rock,110,164,196,8.454,154.7,"1,308.20","1,815",Alolan,FALSE,sienna4
Golbat,Poison,Flying,Wing Attack,Flying,Air Cutter,Flying,150,161,149,8.454,162.6,"1,374.90","1,830",1,FALSE,purple3
Magcargo,Fire,Rock,Ember,Fire,Stone Edge,Rock,100,139,230,8.454,177.4,"1,499.90","1,846",2,FALSE,firebrick
Quagsire,Water,Ground,Mud Shot,Ground,Earthquake,Ground,190,152,165,8.443,200.6,"1,693.50","1,929",2,FALSE,dodgerblue2
Mightyena,Dark,,Bite,Dark,Poison Fang,Poison,140,171,138,8.442,138,"1,165.30","1,783",3,FALSE,gray0
Whiscash,Water,Ground,Mud Shot,Ground,Blizzard,Ice,220,151,146,8.437,216,"1,822.40","1,991",3,FALSE,dodgerblue2
Venomoth,Bug,Poison,Confusion,Psychic,Psychic,Psychic,140,179,146,8.435,149.7,"1,262.80","1,937",1,FALSE,darkgreen
Vespiquen,Bug,Flying,Bug Bite,Bug,Power Gem,Rock,140,149,204,8.435,224.4,"1,892.80","2,005",4,FALSE,darkgreen
Riolu,Fighting,,Counter,Fighting,Cross Chop,Fighting,80,127,80,8.434,73.5,619.8,993,4,FALSE,chocolate2
Vigoroth,Normal,,Scratch,Normal,Bulldoze,Ground,160,159,154,8.434,178.2,"1,503","1,896",3,FALSE,ivory2
Persian,Normal,,Feint Attack,Dark,Play Rough,Fairy,130,150,129,8.432,130.7,"1,101.90","1,539",1,FALSE,ivory2
